rule_id,med_id,principio_activo,indicacion,poblacion,edad_min_meses,edad_max_meses,peso_min_kg,peso_max_kg,via,tipo_dosis,dosis_valor,dosis_valor_max,intervalo_h,divisiones_dia,dosis_fija_mg,max_dosis_mg,max_dia_mg,max_dia_mgkg,duracion,notas,nota_renal,fuente,url_fuente,fecha_revision,estado,automatizable
PED-0012,MED-0109,CEFADROXILO,ITU,≥1 mes (la ficha citada no define pauta neonatal),1,,,,PO,MG_KG_DIA,30,,,2,,,,,Según infección; para estreptococo β-hemolítico al menos 10 días.,30 mg/kg/día divididos cada 12 h. No extrapolar a neonatos.,,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02,VALIDADO,SI
PED-0013,MED-0109,CEFADROXILO,Faringitis / amigdalitis / impétigo,≥1 mes (la ficha citada no define pauta neonatal),1,,,,PO,MG_KG_DIA,30,,,1,,,,,Al menos 10 días si infección estreptocócica β-hemolítica.,Puede darse una vez al día o dividido cada 12 h según ficha técnica. No extrapolar a neonatos.,,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02,VALIDADO,SI
PED-0014,MED-0109,CEFADROXILO,Infección de piel y estructuras cutáneas,≥1 mes (la ficha citada no define pauta neonatal),1,,,,PO,MG_KG_DIA,30,,,2,,,,,,30 mg/kg/día divididos cada 12 h. No extrapolar a neonatos.,,DailyMed – Cefadroxil prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc35b-637a-426b-aaa2-023c664914ae,2026-09-02,VALIDADO,SI
PED-0015,MED-0129,CIPROFLOXACINA,Infecciones susceptibles,>1 mes,1,,,,PO,MG_KG_DOSIS,15,,12,,,750,,,,,Ajustar si CrCl <30 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0016,MED-0129,CIPROFLOXACINA,Infecciones susceptibles,>1 mes,1,,,,IV,MG_KG_DOSIS,10,,8,,,400,,,,,Ajustar si CrCl <30 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0017,MED-0138,CLINDAMICINA,Infección habitual,>1 mes,1,,,,PO/IV,MG_KG_DOSIS,10,,8,,,600,,,,,No requiere ajuste renal.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0018,MED-0138,CLINDAMICINA,Infección ósea/articular,>1 mes,1,,,,PO/IV,MG_KG_DOSIS,13,,8,,,600,,,,,No requiere ajuste renal.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0019,MED-0138,CLINDAMICINA,Fascitis necrotizante,>1 mes,1,,,,IV,MG_KG_DOSIS,10,,8,,,900,,,,UCSF lista máximo IV de 900 mg/dosis para fascitis necrotizante.,No requiere ajuste renal.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0020,MED-0266,FLUCONAZOL,Candidiasis invasiva,>1 mes,1,,,,PO/IV,MG_KG_DOSIS,12,,24,,,800,,,,,Ajustar si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0021,MED-0342,LEVOFLOXACINA,Infecciones susceptibles,6 meses a <5 años,6,60,,,PO/IV,MG_KG_DOSIS,10,,12,,,750,,,,,Ajustar si CrCl <30 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0022,MED-0342,LEVOFLOXACINA,Infecciones susceptibles,≥5 años,60,216,,,PO/IV,MG_KG_DOSIS,10,,24,,,750,,,,,Ajustar si CrCl <30 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0023,MED-0389,METRONIDAZOL,Infección habitual,>1 mes,1,,,,PO/IV,MG_KG_DOSIS,10,,8,,,500,,,,,Ajustar si CrCl <10 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0024,MED-0389,METRONIDAZOL,Apendicitis,>1 mes,1,,,,PO/IV,MG_KG_DOSIS,30,,24,,,1500,,,,,Ajustar si CrCl <10 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0025,MED-0601,VANCOMICINA,Dosis inicial,1 a <3 meses (PMA 45–52 semanas),1,3,,,IV,MG_KG_DOSIS,15,,8,,,1000,,,,Requiere monitorización y ajuste farmacocinético; verificar PMA.,Ajuste por función renal y monitorización farmacocinética.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0026,MED-0601,VANCOMICINA,Dosis inicial,3 meses a <12 años,3,144,,,IV,MG_KG_DOSIS,17.5,,6,,,1000,,,,Dosis inicial; ajustar con monitorización.,Ajuste por función renal y monitorización farmacocinética.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0027,MED-0601,VANCOMICINA,Dosis inicial,12 a <15 años,144,180,,,IV,MG_KG_DOSIS,15,,6,,,1000,,,,Dosis inicial; ajustar con monitorización.,Ajuste por función renal y monitorización farmacocinética.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0028,MED-0601,VANCOMICINA,Dosis inicial,15 a <18 años,180,216,,,IV,MG_KG_DOSIS,15,,8,,,1000,,,,Dosis inicial; ajustar con monitorización.,Ajuste por función renal y monitorización farmacocinética.,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0029,MED-0612,VORICONAZOL,Dosis empírica inicial si PGx desconocido,<12 años,1,144,,,PO/IV,MG_KG_DOSIS,10,,12,,,400,,,,,No ajuste de dosis renal; evitar formulación IV si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0030,MED-0612,VORICONAZOL,Dosis empírica inicial si PGx desconocido,12 a <18 años,144,216,,,PO/IV,MG_KG_DOSIS,6,,12,,,400,,,,,No ajuste de dosis renal; evitar formulación IV si CrCl <50 mL/min/1.73m².,UCSF Benioff Children’s Hospitals – Pediatric Antimicrobial Dosing (last update 4/2025),https://idmp.ucsf.edu/pediatric-antimicrobial-dosing-benioff-childrens-hospitals,2026-09-02,VALIDADO,SI
PED-0031,MED-0136,CLARITROMICINA,Infecciones pediátricas según ficha técnica,≥6 meses,6,,,,PO,MG_KG_DOSIS,7.5,,12,,,500,,,10 días,Equivale a 15 mg/kg/día divididos cada 12 h; no exceder dosis adulta. En esta app no se automatiza por debajo de 6 meses.,,DailyMed – Clarithromycin prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa69ea92-0b41-43fb-918f-ed80e0dedf04,2026-09-02,VALIDADO,SI
PED-0032,MED-0430,NITROFURANTOINA,ITU,≥1 mes,1,,,,PO,MG_KG_DIA_RANGE,5,7,,4,,,,,,5–7 mg/kg/día en 4 dosis; administrar con alimentos. Contraindicada <1 mes.,,DailyMed – Nitrofurantoin oral suspension prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=04af8b73-7e15-7da8-e063-6294a90af284,2026-09-02,VALIDADO,SI
PED-0033,MED-0440,OSELTAMIVIR,Tratamiento influenza,2 semanas a <1 año,0.5,12,,,PO,MG_KG_DOSIS,3,,12,,,,,,5 días,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0034,MED-0440,OSELTAMIVIR,Tratamiento influenza,"1 a 12 años, por peso",12,156,,15,PO,FIJA,,,12,,30,,,,5 días,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0035,MED-0440,OSELTAMIVIR,Tratamiento influenza,"1 a 12 años, por peso",12,156,15.0001,23,PO,FIJA,,,12,,45,,,,5 días,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0036,MED-0440,OSELTAMIVIR,Tratamiento influenza,"1 a 12 años, por peso",12,156,23.0001,40,PO,FIJA,,,12,,60,,,,5 días,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0037,MED-0440,OSELTAMIVIR,Tratamiento influenza,"1 a 12 años, por peso",12,156,40.0001,,PO,FIJA,,,12,,75,,,,5 días,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0038,MED-0440,OSELTAMIVIR,Profilaxis postexposición,"1 a 12 años, por peso",12,156,,15,PO,FIJA,,,24,,30,,,,10 días postexposición; revisar duración en brote comunitario/inmunocompromiso.,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0039,MED-0440,OSELTAMIVIR,Profilaxis postexposición,"1 a 12 años, por peso",12,156,15.0001,23,PO,FIJA,,,24,,45,,,,10 días postexposición; revisar duración en brote comunitario/inmunocompromiso.,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0040,MED-0440,OSELTAMIVIR,Profilaxis postexposición,"1 a 12 años, por peso",12,156,23.0001,40,PO,FIJA,,,24,,60,,,,10 días postexposición; revisar duración en brote comunitario/inmunocompromiso.,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0041,MED-0440,OSELTAMIVIR,Profilaxis postexposición,"1 a 12 años, por peso",12,156,40.0001,,PO,FIJA,,,24,,75,,,,10 días postexposición; revisar duración en brote comunitario/inmunocompromiso.,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0042,MED-0440,OSELTAMIVIR,Tratamiento influenza,>12 a <18 años,156,216,,,PO,FIJA,,,12,,75,,,,5 días,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0043,MED-0440,OSELTAMIVIR,Profilaxis postexposición,>12 a <18 años,156,216,,,PO,FIJA,,,24,,75,,,,10 días,,,DailyMed – Oseltamivir phosphate prescribing information,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31c90a2e-9d14-4236-8dc2-b2a862e8cbac,2026-09-02,VALIDADO,SI
PED-0044,MED-0454,PARACETAMOL,Dolor/fiebre – vía oral,Nacimiento a 1 mes,0,1,,,PO,MG_KG_DOSIS,15,,6,,,1000,,60,,RCH indica 15 mg/kg cada 4–6 h; se configura q6h para respetar máximo diario neonatal.,,Royal Children’s Hospital Melbourne – Acute pain management (updated 10/2024),https://www.rch.org.au/clinicalguide/guideline_index/Acute_pain_management/,2026-09-02,VALIDADO,SI
PED-0045,MED-0454,PARACETAMOL,Dolor/fiebre – vía oral,>1 mes,1,216,,,PO,MG_KG_DOSIS,15,,6,,,1000,4000,90,,90 mg/kg/día (máx 4 g) solo para dolor intenso y máximo 48 h; luego 60 mg/kg/día.,,Royal Children’s Hospital Melbourne – Acute pain management (updated 10/2024),https://www.rch.org.au/clinicalguide/guideline_index/Acute_pain_management/,2026-09-02,VALIDADO,SI
PED-0046,MED-0454,PARACETAMOL,Dolor/fiebre – vía IV,<1 mes,0,1,,,IV,MG_KG_DOSIS,10,,6,,,,,40,,,,Royal Children’s Hospital Melbourne – Acute pain management (updated 10/2024),https://www.rch.org.au/clinicalguide/guideline_index/Acute_pain_management/,2026-09-02,VALIDADO,SI
PED-0047,MED-0454,PARACETAMOL,Dolor/fiebre – vía IV,>1 mes,1,216,,,IV,MG_KG_DOSIS,15,,6,,,1000,4000,60,,,,Royal Children’s Hospital Melbourne – Acute pain management (updated 10/2024),https://www.rch.org.au/clinicalguide/guideline_index/Acute_pain_management/,2026-09-02,VALIDADO,SI
PED-0048,MED-0301,IBUPROFENO,Dolor/fiebre,>3 meses,3,216,,,PO,MG_KG_DOSIS,10,,8,,,400,2400,30,,RCH: cada 6–8 h con alimentos; precaución en insuficiencia renal/deshidratación.,,Royal Children’s Hospital Melbourne – Acute pain management (updated 10/2024),https://www.rch.org.au/clinicalguide/guideline_index/Acute_pain_management/,2026-09-02,VALIDADO,SI
PED-0049,MED-0182,DEXAMETASONA,Croup leve-moderado con indicación de corticoide,Edad típica 6 meses–6 años,6,72,,,PO,MG_KG_DOSIS,0.15,,,,,,,,,Dosis única; no todos los cuadros leves requieren corticoide.,,Royal Children’s Hospital Melbourne – Croup,https://www.rch.org.au/clinicalguide/guideline_index/Croup_Laryngotracheobronchitis/,2026-09-02,VALIDADO,SI
PED-0050,MED-0182,DEXAMETASONA,Croup grave o amenaza vital,Edad pediátrica,6,216,,,PO/IM/IV,MG_KG_DOSIS,0.6,,,,,12,,,,Dosis única inicial.,,Royal Children’s Hospital Melbourne – Croup,https://www.rch.org.au/clinicalguide/guideline_index/Croup_Laryngotracheobronchitis/,2026-09-02,VALIDADO,SI
PED-0051,MED-0479,PREDNISOLONA,Croup leve-moderado,Edad pediátrica,6,216,,,PO,MG_KG_DOSIS,1,,,,,,,,,Dosis única en la pauta de RCH.,,Royal Children’s Hospital Melbourne – Croup,https://www.rch.org.au/clinicalguide/guideline_index/Croup_Laryngotracheobronchitis/,2026-09-02,VALIDADO,SI
PED-0052,MED-0479,PREDNISOLONA,Urticaria aguda grave refractaria a antihistamínico,Edad pediátrica,6,216,,,PO,MG_KG_DOSIS_RANGE,0.5,1,,,,60,,,,Dosis única.,,Royal Children’s Hospital Melbourne – Urticaria,https://www.rch.org.au/clinicalguide/guideline_index/Urticaria/,2026-09-02,VALIDADO,SI
PED-0053,MED-0118,CETIRIZINA,Urticaria aguda,6–11 meses,6,12,,,PO,MG_KG_DOSIS,0.25,,24,,,2.5,,,,,,Royal Children’s Hospital Melbourne – Urticaria,https://www.rch.org.au/clinicalguide/guideline_index/Urticaria/,2026-09-02,VALIDADO,SI
PED-0054,MED-0118,CETIRIZINA,Urticaria aguda,1–2 años,12,24,,,PO,FIJA,,,12,,2.5,,,,,,,Royal Children’s Hospital Melbourne – Urticaria,https://www.rch.org.au/clinicalguide/guideline_index/Urticaria/,2026-09-02,VALIDADO,SI
PED-0055,MED-0118,CETIRIZINA,Urticaria aguda,2–6 años,24,72,,,PO,FIJA,,,24,,5,,,,,Alternativa: 2.5 mg cada 12 h.,,Royal Children’s Hospital Melbourne – Urticaria,https://www.rch.org.au/clinicalguide/guideline_index/Urticaria/,2026-09-02,VALIDADO,SI
PED-0056,MED-0118,CETIRIZINA,Urticaria aguda,6–12 años,72,144,,,PO,FIJA,,,24,,10,,,,,Alternativa: 5 mg cada 12 h.,,Royal Children’s Hospital Melbourne – Urticaria,https://www.rch.org.au/clinicalguide/guideline_index/Urticaria/,2026-09-02,VALIDADO,SI
PED-0057,MED-0118,CETIRIZINA,Urticaria aguda,12–18 años,144,216,,,PO,FIJA,,,24,,10,,,,,,,Royal Children’s Hospital Melbourne – Urticaria,https://www.rch.org.au/clinicalguide/guideline_index/Urticaria/,2026-09-02,VALIDADO,SI
PED-0058,MED-0355,LORATADINA,Reacción alérgica leve-moderada,1–2 años,12,24,,,PO,FIJA,,,24,,2.5,,,,,,,Royal Children’s Hospital Melbourne – IgE-mediated food allergy,https://www.rch.org.au/clinicalguide/guideline_index/Food_allergy_-_IgE_mediated_food_allergy/,2026-09-02,VALIDADO,SI
PED-0059,MED-0355,LORATADINA,Reacción alérgica leve-moderada,>2 años y <30 kg,24,216,,29.999,PO,FIJA,,,24,,5,,,,,,,Royal Children’s Hospital Melbourne – IgE-mediated food allergy,https://www.rch.org.au/clinicalguide/guideline_index/Food_allergy_-_IgE_mediated_food_allergy/,2026-09-02,VALIDADO,SI
PED-0060,MED-0355,LORATADINA,Reacción alérgica leve-moderada,>2 años y ≥30 kg,24,216,30,,PO,FIJA,,,24,,10,,,,,,,Royal Children’s Hospital Melbourne – IgE-mediated food allergy,https://www.rch.org.au/clinicalguide/guideline_index/Food_allergy_-_IgE_mediated_food_allergy/,2026-09-02,VALIDADO,SI
PED-0061,MED-0438,ONDANSETRON,Gastroenteritis con vómitos persistentes para facilitar hidratación,">6 meses, 8–15 kg",6,,8,15,PO,FIJA,,,,,2,,,,,Dosis inicial.,,Royal Children’s Hospital Melbourne – Gastroenteritis (updated 8/2025),https://www.rch.org.au/clinicalguide/guideline_index/Gastroenteritis/,2026-09-02,VALIDADO,SI
PED-0062,MED-0438,ONDANSETRON,Gastroenteritis con vómitos persistentes para facilitar hidratación,">6 meses, >15–30 kg",6,,15.0001,30,PO,FIJA,,,,,4,,,,,Dosis inicial.,,Royal Children’s Hospital Melbourne – Gastroenteritis (updated 8/2025),https://www.rch.org.au/clinicalguide/guideline_index/Gastroenteritis/,2026-09-02,VALIDADO,SI
PED-0063,MED-0438,ONDANSETRON,Gastroenteritis con vómitos persistentes para facilitar hidratación,">6 meses, >30 kg",6,,30.0001,,PO,FIJA,,,,,8,,,,,Dosis inicial.,,Royal Children’s Hospital Melbourne – Gastroenteritis (updated 8/2025),https://www.rch.org.au/clinicalguide/guideline_index/Gastroenteritis/,2026-09-02,VALIDADO,SI
PED-0064,MED-0438,ONDANSETRON,Dosis posterior si se requiere,>6 meses,6,,,,PO,MG_KG_DOSIS,0.15,,,,,,,,,La guía informa 0.15 mg/kg para dosificación posterior; individualizar frecuencia.,,Royal Children’s Hospital Melbourne – Gastroenteritis (updated 8/2025),https://www.rch.org.au/clinicalguide/guideline_index/Gastroenteritis/,2026-09-02,VALIDADO,SI
PED-0065,MED-0392,MIDAZOLAM,Convulsión aguda – primera línea,Pediatría,,,,,IV/IM/IO,MG_KG_DOSIS,0.15,,,,,10,,,,Máximo 2 dosis apropiadas de benzodiazepina incluyendo dosis prehospitalarias.,,Royal Children’s Hospital Melbourne – Seizures: acute management,https://www.rch.org.au/afebrile_seizures/,2026-09-02,VALIDADO,SI
PED-0066,MED-0392,MIDAZOLAM,Convulsión aguda – primera línea,Pediatría,,,,,BUCAL/IN,MG_KG_DOSIS,0.3,,,,,10,,,,Máximo 2 dosis apropiadas de benzodiazepina incluyendo dosis prehospitalarias.,,Royal Children’s Hospital Melbourne – Seizures: acute management,https://www.rch.org.au/afebrile_seizures/,2026-09-02,VALIDADO,SI
PED-0067,MED-0188,DIAZEPAM,Convulsión aguda – primera línea,Pediatría,,,,,IV/IO,MG_KG_DOSIS,0.3,,,,,10,,,,No administrar IM.,,Royal Children’s Hospital Melbourne – Seizures: acute management,https://www.rch.org.au/afebrile_seizures/,2026-09-02,VALIDADO,SI
PED-0068,MED-0254,FENITOINA SODICA,"Convulsión aguda – segunda línea, carga",Pediatría,,,,,IV/IO,MG_KG_DOSIS,20,,,,,2000,,,,"Carga. Monitorización cardíaca; infundir 1 mg/kg/min, máximo 50 mg/min. Contraindicada en Dravet.",,Royal Children’s Hospital Melbourne – Seizures: acute management,https://www.rch.org.au/afebrile_seizures/,2026-09-02,VALIDADO,SI
PED-0069,MED-0339,LEVETIRACETAM,Convulsión aguda – segunda línea,Pediatría,,,,,IV/IO,MG_KG_DOSIS_RANGE,40,60,,,,4500,,,,Infundir sobre ~5 min según guía.,,Royal Children’s Hospital Melbourne – Seizures: acute management,https://www.rch.org.au/afebrile_seizures/,2026-09-02,VALIDADO,SI
