med_id,principio_activo,reglas_pediatria,estado_pediatria,reglas_renal,estado_renal,nota
MED-0051,AMITRIPTILINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0052,AMLODIPINO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0053,AMOXICILINA,3,VALIDADO,6,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0054,AMPICILINA,2,VALIDADO,4,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0055,ANAGRALIDA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0056,ANASTRAZOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0057,APIXABAN,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0058,APREMILAST,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0059,ARIPIPRAZOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0060,ARTEMETER,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0061,ASCORBATO DE SODIO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0062,ATAZANAVIR,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0063,ATENOLOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0064,ATORVASTATINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0065,AVANAFIL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0066,AXITINIB,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0067,AZATIOPRINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0068,AZITROMICINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0069,BACLOFENO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0070,BARICITINIB,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0071,BELATACEPT,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0072,BENCIDAMINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0073,BENOXINATO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0074,BENZNIDAZOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0075,BENZOCAINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0076,BETAHISTINA CLORHIDRATO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0077,BICALUTAMIDA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0078,BICARBONATO DE SODIO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0079,BICTEGRAVIR,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0080,BILASTINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0081,BIPERIDENO CLORHIDRATO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0082,BISACODILO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0083,BISOPROLOL FUMARATO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0084,BOSENTAN,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0085,BOSUTINIB,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0086,BOSUTINIB,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0087,BRIGATINIB,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0088,BRIVARACETAM,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0089,BROMAZEPAM,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0090,BROMHEXINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0091,BROMOPRIDA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0092,BUCLIZINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0093,BUDESONIDA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0094,BUPROPION,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0095,CABERGOLINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0096,CABOTEGRAVIR,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0097,CABOZANTINIB,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0098,CAFEINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0099,CALCITRIOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0100,CANDESARTAN,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0101,CAPECITABINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0102,CAPTOPRIL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0103,CARBAMAZEPINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0104,CARBIDOPA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0105,CARBON ACTIVADO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0106,CARBONATO DE CALCIO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0107,CARBONATO DE LITIO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0108,CARVEDILOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0109,CEFADROXILO,3,VALIDADO,4,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0110,CEFALEXINA,2,VALIDADO,10,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0111,CEFDITOREN,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0112,CEFPODOXIME,0,NO HABILITADO,2,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0113,CEFRADINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0114,CEFTIBUTENO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0115,CEFUROXIMA,0,NO HABILITADO,3,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0116,CELECOXIB,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0117,CETILPIRIDINIO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0118,CETIRIZINA,5,VALIDADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0119,CIANOCOBALAMINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0120,CICLOBENZAPRINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0121,CICLOFOSFAMIDA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0122,CICLONAMINA (ETAMSILATO),0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0123,CICLOSPORINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0124,CILOSTAZOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0125,CINACALCET,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0126,CINARIZINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0127,CINITAPRIDA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0128,CIPROFIBRATO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0129,CIPROFLOXACINA,2,VALIDADO,6,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0130,CIPROTERONA ACETATO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0131,CITALOPRAM,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0132,CITICOLINA SODICA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0133,CITRATO DE ALVERINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0134,CITRATO DE POTASIO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0135,CLADRIBINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0136,CLARITROMICINA,1,VALIDADO,2,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0137,CLEMASTINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0138,CLINDAMICINA,3,VALIDADO,1,VALIDADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0139,CLOBAZAM,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0140,CLOMIFENO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0141,CLOMIPRAMINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0142,CLONAZEPAM,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0143,CLONIDINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0144,CLONIXINATO DE LISINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0145,CLOPIDOGREL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0146,CLORAMBUCILO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0147,CLORANFENICOL,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0148,CLORFENAMINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0149,CLORHEXIDINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0150,CLORHIDRATO DE ALFUZOSINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0151,CLORMADINONA ACETATO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0152,CLOROQUINA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0153,CLORTALIDONA,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0154,CLORURO DE TROSPIO,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
MED-0155,CLOTIAZEPAM,0,NO HABILITADO,0,NO HABILITADO,Sin regla automática no significa que el medicamento no pueda usarse; significa que esta versión no dispone de una pauta general suficientemente validada.
