categoria,toxico,alias,region_relevancia,via_exposicion,sintomas_base,signos_gravedad,dosis_toxica_referencia,tipo_referencia_dosis,poblacion_referencia,estado_dosis,antidoto_tratamiento_base,descontaminacion,tratamiento_especifico,antidoto,dosis_antidoto_referencia,monitorizacion,criterios_observacion_uci,fuente,url_fuente,fuente_libro,paginas_libro,fecha_revision,estado_revision,notas
SERPIENTES,LACHESIS MUTA,surucucú; bushmaster,Amazonía/Sudamérica,mordedura,"Dolor y edema importantes, sangrado/coagulopatía y cuadro autonómico con náuseas, vómitos, diarrea, bradicardia e hipotensión.","Shock, sangrado sistémico, coagulopatía, deterioro renal.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno laquésico/polivalente según región.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Snakebite Envenoming,https://www.who.int/news-room/fact-sheets/detail/snakebite-envenoming,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,MICRURUS SPP. / CORAL VERDADERA,serpiente coral; coral snake,América,mordedura,"Puede haber pocos hallazgos locales. Neurotoxicidad progresiva con ptosis, diplopía, disfagia, disartria, debilidad y parálisis respiratoria.","Debilidad bulbar, hipoventilación, caída de saturación, parálisis progresiva.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno antielapídico/coral cuando esté indicado y soporte ventilatorio precoz.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Guidelines for Management of Snakebites,https://www.who.int/publications/i/item/9789290225300,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,COBRAS (NAJA SPP.),cobra,África/Asia / viaje,mordedura,Neurotoxicidad con ptosis y parálisis; algunas especies producen necrosis local extensa y edema. Puede progresar a insuficiencia respiratoria.,"Parálisis bulbar/respiratoria, necrosis extensa, shock.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno apropiado a la especie/región y ventilación si precisa.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Guidelines for Management of Snakebites,https://www.who.int/publications/i/item/9789290225300,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,KRAITS (BUNGARUS SPP.),búngaro; krait,Asia / viaje,mordedura,"Lesión local a veces mínima; dolor abdominal, ptosis, oftalmoplejía, disfagia y parálisis flácida descendente que puede aparecer horas después.","Parálisis respiratoria con conciencia preservada, debilidad bulbar progresiva.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno apropiado cuando exista y soporte ventilatorio.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Guidelines for Management of Snakebites,https://www.who.int/publications/i/item/9789290225300,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,MAMBAS (DENDROASPIS SPP.),mamba,África / viaje,mordedura,"Inicio rápido de parestesias, fasciculaciones, debilidad, ptosis, disartria y parálisis; puede haber colapso cardiovascular.","Insuficiencia respiratoria rápida, arritmias, shock.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno específico y soporte ventilatorio/hemodinámico inmediato.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Guidelines for Management of Snakebites,https://www.who.int/publications/i/item/9789290225300,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,SERPIENTES MARINAS,sea snake; Hydrophiinae,Indo-Pacífico / viaje,mordedura,"Mordedura a menudo poco dolorosa; mialgias, rigidez, debilidad, rabdomiólisis y neurotoxicidad con posible insuficiencia respiratoria.","Debilidad respiratoria, hiperkalemia/rabdomiólisis, orina oscura, arritmias.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Antiveneno de serpiente marina donde esté disponible y soporte intensivo.,Antiveneno específico/regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Guidelines for Management of Snakebites,https://www.who.int/publications/i/item/9789290225300,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
SERPIENTES,MORDEDURA DE SERPIENTE VENENOSA NO IDENTIFICADA,snakebite unknown species,Mundial,mordedura,"Puede causar edema/necrosis local, sangrado/coagulopatía, neuroparálisis, rabdomiólisis, shock o lesión renal según el veneno.","Cualquier signo sistémico, progresión del edema, sangrado, neurotoxicidad, shock, oliguria.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Inmovilizar, retirar objetos constrictivos y trasladar de urgencia. No realizar incisiones, succión ni torniquetes estrechos. Soporte ABC y valoración seriada.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.","Antiveneno solo si está indicado por síndrome clínico, epidemiología local y producto apropiado; evitar antivenenos no correspondientes.",Antiveneno apropiado al contexto regional.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Animal Bites / Snakebite,https://www.who.int/news-room/fact-sheets/detail/animal-bites,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,Entrada sindrómica para cuando no se identifica la especie.
REPTILES,MONSTRUO DE GILA / LAGARTO DE CUENTAS,Heloderma suspectum; Heloderma horridum,América / viaje,mordedura,"Dolor intenso, edema, debilidad, náuseas/vómitos, diaforesis e hipotensión; la mordedura puede ser prolongada y traumática.","Hipotensión, angioedema/anafilaxia, alteración neurológica o respiratoria.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Retirar el animal sin maniobras traumáticas, irrigar la herida, analgesia, control hemodinámico y profilaxis antitetánica según corresponda.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",No existe antiveneno específico; soporte y manejo de la herida.,Ninguno específico.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",WHO Animal Bites,https://www.who.int/news-room/fact-sheets/detail/animal-bites,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
HIMENÓPTEROS,ABEJAS,abeja; honey bee,Mundial,picadura,"Dolor, eritema y edema local. Múltiples picaduras pueden causar náuseas, vómitos, rabdomiólisis, hemólisis y lesión renal; cualquier picadura puede desencadenar anafilaxia.","Anafilaxia, estridor, broncoespasmo, hipotensión, múltiples picaduras con toxicidad sistémica.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Retirar aguijón cuando esté presente, limpiar, analgesia/frío local; tratar anafilaxia inmediatamente.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Adrenalina IM para anafilaxia según protocolo; soporte de toxicidad por múltiples picaduras.,Adrenalina para anafilaxia.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Insect Bites,https://www.ncbi.nlm.nih.gov/books/NBK537235/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
HIMENÓPTEROS,AVISPAS / AVISPONES,avispa; avispón; yellow jacket,Mundial,picadura,"Dolor y edema local; pueden picar repetidamente. Riesgo de anafilaxia y, con múltiples picaduras, hemólisis, rabdomiólisis y lesión renal.","Anafilaxia, compromiso de vía aérea, hipotensión, múltiples picaduras con toxicidad sistémica.",,SIN_UMBRAL_INGESTA_UNICO,,SDTE_NO_AUTOMATIZAR,"Limpieza, analgesia; tratamiento inmediato de anafilaxia y valoración hospitalaria si múltiples picaduras.","Lavar la zona y retirar espinas/aguijones/tentáculos solo con la técnica apropiada para la especie. Evitar incisiones, succión y torniquetes en mordeduras de serpiente.",Adrenalina IM para anafilaxia; soporte.,Adrenalina para anafilaxia.,,"Evaluación seriada de edema/dolor, signos vitales, estado neurológico y laboratorio dirigido (hemograma, coagulación, función renal, CK) según síndrome.","UCI si anafilaxia, shock, neurotoxicidad progresiva, coagulopatía, rabdomiólisis, insuficiencia respiratoria o falla orgánica.",NCBI Bookshelf - Insect Bites,https://www.ncbi.nlm.nih.gov/books/NBK537235/,"Morán Chorro I, Baldirà Martínez de Irujo J, Marruecos-Sant L, Nogué Xarau S. Toxicología Clínica. 2011.","Cap. 36, pp. 437–454",2026-09-04,VALIDADO_FUENTE_ABIERTA,
