toxico,sintomas_base,antidoto_tratamiento_base
Fosfuro de aluminio,"Náuseas, vómitos, dolor abdominal, dificultad respiratoria, edema pulmonar, colapso cardiovascular.","No hay antídoto específico. Tratamiento sintomático, soporte respiratorio y cardiovascular, descontaminación gástrica."
Hexaclorobenceno,"Irritación de la piel, mareos, náuseas, vómitos, fotosensibilidad, daño hepático.","Tratamiento sintomático, monitoreo hepático, soporte vital avanzado si es necesario."
Plomo,"Anemia, dolor abdominal, irritabilidad, fatiga, cefalea, neuropatía, encefalopatía, retraso en el desarrollo (niños).","EDTA (ácido etilendiaminotetraacético), DMSA (ácido meso-2,3-dimercaptosuccínico), BAL (dimercaprol)."
Mercurio,"Temblor, insomnio, pérdida de memoria, irritabilidad, debilidad muscular, neuropatía periférica, nefrotoxicidad.","BAL (dimercaprol), DMSA (ácido meso-2,3-dimercaptosuccínico), penicilamina."
Arsenico,"Náuseas, vómitos, diarrea, dolor abdominal, neuropatía, lesiones cutáneas, arritmias cardíacas, cáncer.","BAL (dimercaprol), DMSA (ácido meso-2,3-dimercaptosuccínico), penicilamina."
Cadmio,"Náuseas, vómitos, diarrea, dolor abdominal, daño renal, disnea, enfisema, osteoporosis, cáncer pulmonar.","No hay antídoto específico. Tratamiento sintomático y soporte vital, diálisis para insuficiencia renal."
Cromo,"Irritación de la piel, ulceraciones cutáneas, daño renal, daño hepático, cáncer pulmonar.",No hay antídoto específico. Tratamiento sintomático y soporte vital.
Niquel,"Dermatitis, náuseas, vómitos, dolor abdominal, tos, dificultad respiratoria, fibrosis pulmonar, cáncer.",No hay antídoto específico. Tratamiento sintomático y soporte vital.
Talio,"Náuseas, vómitos, dolor abdominal, neuropatía, alopecia, insuficiencia renal, encefalopatía.","Prussian blue (azul de Prusia), diálisis para insuficiencia renal, tratamiento sintomático."
Hierro,"Náuseas, vómitos, dolor abdominal, diarrea, letargia, shock, hepatotoxicidad, acidosis metabólica.","Deferoxamina (antídoto específico), tratamiento sintomático y soporte vital."
Aluminio,"Encefalopatía, anemia microcítica, debilidad muscular, fracturas óseas, osteomalacia.","Desferrioxamina (antídoto específico), tratamiento sintomático y soporte vital."
Cobre,"Náuseas, vómitos, dolor abdominal, ictericia, hematuria, daño hepático, anemia hemolítica.","Penicilamina, BAL (dimercaprol), tratamiento sintomático y soporte vital."
Zinc,"Náuseas, vómitos, dolor abdominal, diarrea, letargia, anemia, neurotoxicidad.","Tratamiento sintomático y soporte vital, quelantes si es necesario."
Manganeso,"Fatiga, cefalea, dificultad para caminar, espasticidad, parkinsonismo, irritabilidad, psicosis.",No hay antídoto específico. Tratamiento sintomático y soporte vital
