principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion,clase_toxicologica,dosis_toxica_corregida,tipo_umbral,manifestaciones_clave,manejo_corregido,antidoto_especifico,fuente_principal,fuente_secundaria,nivel_evidencia,estado_revision,nota_revision,umbral_mgkg_automatizable,etiqueta_umbral,poblacion_umbral,permitir_comparacion_automatica,fecha_revision,id_revision,duplicado_exacto_nombre,orden_duplicado,correccion_clinicamente_relevante
ACETATO DE MEDROXIPROGESTERONA,mg,10,TABLETA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0011,NO,1,NO
ACETATO DE NOMEGESTROL,mg,2.5,TABLETA RECUBIERTA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0012,NO,1,NO
ACETATO DE ULIPRISTAL,mg,5,TABLETA,SDTE,"Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal Endocrinas y Metabólicas:Retención de líquidos Aumento de peso, oEdema, Alteraciones en los niveles de glucosa y lípidos en sangre. Cardiovasculares:Aumento del riesgo de tromboembolismo venoso, Hipertensión arterial, Enfermedades cardiovasculares. Reproductivas y Mamarias:mastalgia, Cambios en el flujo menstrual Neurológicas y Psicológicas:Cefaleas, Cambios en el estado de ánimo, incluyendo depresión y ansiedad Dermatológicas:Cloasma, Acné",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0013,NO,1,NO
ACETAZOLAMIDA,mg,250,TABLETA,>1000 mg DIA DU,"somnolencia, sedación, fatiga, mareo, desorientación, ataxia, parestesias de extremidades y boca. Raras: dermatitis, depresión de médula ósea, cálculos renales",MEDIDAS GENERALES,PENDIENTE_VALIDACION,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.  El valor original '>1000 mg DIA DU' no se usa como umbral automatizable.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0014,NO,1,NO
ACETILCISTEINA,mg,600,TABLETA EFERVESCENTE,SDTE,"náusea y vómito cuando se administra por vía oral; rubor, eritema, angioedema, hipotensión y broncoespasmo (reacción anafilactoide)",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Mucolítico / antídoto,SDTE — sobredosis oral suele ser GI; errores de dosis IV pueden producir reacciones no IgE y otras complicaciones.,SDTE / CLINICO,"Náuseas/vómitos por vía oral; IV: rubor, urticaria, angioedema, broncoespasmo e hipotensión tipo reacción anafilactoide.",Suspender o enlentecer infusión según gravedad y tratar reacción anafilactoide de acuerdo con protocolo; soporte. No existe un antídoto contra NAC.,Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/paracetamol_poisoning/,,GUIA/REVISION,VALIDADO_ESPECIFICO,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0015,NO,1,NO
ACETONIDO DE TRIAMCINOLONA,mcg,55,DOSIS (INHALACIÓN),SDTE,"cefalea. Sensación de calor nasal moderado, transitorio, escozor, congestión nasal, estornudos, sequedad, epistaxis, infecciones micóticas nasofaríngeas y garganta, disfonía, irritación de garganta. Boca seca, infecciones bucales por hongos. Reacciones de hipersensibilidad (urticaria, rash). Angioedema, broncoespasmo, supresión de eje H-H-S, insuficiencia suprarrenal, edema facial, jadeos",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0016,NO,1,NO
ACICLOVIR,mg,200,TABLETA RECUBIERTA,SDTE/DOSIS MAX 4 g DIA,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0017,NO,1,NO
ÁCIDO ACETIL SALICILICO,mg,100,TABLETA,> 200 mg /kg,"ALTERACIONES DEL EQUILIBRIO ÁCIDO-BASE Y DESBALANCE HIDROELECTROLÍTICO: alcalosis respiratoria (hiperventilacion), hiponatremia, hipokalemia, deshidratación, acidosis metabolíca (desacople de la fosforilacion oxidativa) SÍNTOMAS TGI: nauseas, hematemesis, vómitos, melena EPIS: taquipnea, hiperpnea, hipoxia, edema pulmonar EFECTOS SOBRE EL SNC: intranquilidad, convulsiones, delirio, coma, edema cerebral. TRASTORNOS RENALES: oliguria, hematuria, proteinuria, trastornos cardiovasculares, hipotensión arterial, MANIFESTACIONES HEMORRÁGICAS: dosis altas: hipotrombinemia por disminución del factor vii DOSIS BAJAS: disminución de la adhesividad plaquetaria",BICARBONATO DE SODIO,PENDIENTE_VALIDACION,Salicilato,"Para aspirina equivalente: >150 mg/kg o 6.5 g (lo que sea menor) es umbral de derivación/evaluación tras ingesta aguda no intencional; el diagnóstico y gravedad dependen de clínica, gasometría, electrolitos y salicilatemia.",UMBRAL_EVALUACION,"Náuseas/vómitos, tinnitus, taquipnea/hiperpnea, alcalosis respiratoria y acidosis metabólica; en gravedad: alteración neurológica, edema pulmonar, hipoglucemia cerebral, hipertermia.",Medir salicilato seriado y equilibrio ácido-base; alcalinización con bicarbonato cuando esté indicada; hemodiálisis en toxicidad grave según criterios clínicos/toxicológicos. No inducir emesis.,Bicarbonato de sodio es tratamiento específico de alcalinización; hemodiálisis en casos graves (no 'antídoto').,https://pubmed.ncbi.nlm.nih.gov/17364628/,https://pubmed.ncbi.nlm.nih.gov/37721023/,CONSENSO/GUIA,VALIDADO_ESPECIFICO,"El valor previo >200 mg/kg se corrigió: 150 mg/kg/6.5 g es un umbral de derivación reconocido, no una frontera entre seguro/tóxico.",150,Umbral de evaluación para aspirina equivalente,Mixta; contexto agudo,SI,2026-09-02,MED-0018,NO,1,NO
ACIDO ALFA LIPOICO,mg,600,TABLETA RECUBIERTA,SDTE,"CEFALEA, PARESTESIA EN PIEL, RASH, MIALGIAS, HIPOGLUCEMIA",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Ácido alfa-lipoico / tióctico,SDTE — no existe un umbral humano universal suficientemente validado para automatizar.,SDTE / ALTO_RIESGO_EN_GRANDES_INGESTAS,"En sobredosis grande se han descrito convulsiones, hipoglucemia, acidosis láctica, rabdomiólisis y falla multiorgánica.","Soporte intensivo, glucosa seriada, gas/lactato, función renal/hepática y tratamiento de convulsiones; toxicología en exposición significativa.",Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_CLINICOS_LIMITADOS,REVISADO_CONSERVADOR,,,,Mixta / depende de contexto,NO,2026-09-02,MED-0019,NO,1,NO
ACIDO ALGINICO,mg,200,TABLETA,> 2400 MG DIA/SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA,Otros / datos específicos limitados,SDTE — sin dosis tóxica humana específica suficientemente validada para automatizar en esta versión.,SDTE,"La sobredosis puede intensificar los efectos farmacológicos y reacciones adversas conocidas. La expresión clínica depende de dosis, formulación, comorbilidades y coingestas.","ABCDE y tratamiento de soporte dirigido a la clínica. ECG, glucemia, electrolitos, función renal/hepática u otras pruebas según mecanismo y síntomas. Ingesta intencional, dosis desconocida, formulación de liberación prolongada o paciente sintomático: evaluación en urgencias y consulta a toxicología/CIT.",Ninguno específico establecido,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,DATOS_ESPECIFICOS_LIMITADOS,REVISADO_CONSERVADOR,"Se elimina cualquier cifra previa que represente dosis terapéutica máxima, DL50 animal o umbral no sustentado como toxicidad aguda humana.",,,Mixta / depende de contexto,NO,2026-09-02,MED-0020,NO,1,NO
ACIDO ASCORBICO,mg,500,CÁPSULA DURA,SDTE,"(>2000 mg al día) se han descrito síntomas leves como gastritis, dolor abdominal o diarrea. A dosis >4000 mg al día se puede producir uricosuria y litiasis renal",AZUL DE METILENO,SIN_DOSIS_TOXICA_ESPECIFICA,Vitamina C,SDTE — no hay dosis tóxica aguda específica útil para automatizar.,SDTE,Grandes ingestas suelen causar síntomas GI; exposición elevada/prolongada puede aumentar oxalato y riesgo renal en susceptibles.,"Soporte, hidratación y evaluación renal si exposición masiva o paciente de riesgo. Azul de metileno NO es un antídoto de vitamina C.",Ninguno específico,https://www.rch.org.au/clinicalguide/guideline_index/Poisoning_Initial_Management/,,REVISION_CONSERVADORA,CORREGIDO_ERROR_IMPORTANTE,Se eliminó 'azul de metileno' de la fila original: no corresponde como antídoto de sobredosis de ácido ascórbico.,,,Mixta / depende de contexto,NO,2026-09-02,MED-0021,NO,1,SI
